ACTIVITY QUARTAL IV - INFRASTRUCTURE ENGINEER									
									
									
									Done
					Onsite				Progress
					Remote				Hold
ACTIVITY QUARTAL - 4	No	CLIENT	SERVICE	CASE & ISSUE	ACTION	DATE	PIC TIM	DETAIL ACTION	STATUS
									
									
			FTTR	Maintenance		18 November 2025	Joni	-penyambngan 2 Room 109 dan 110	
			FTTR	Maintenance		25 November 2025	Joni	- kamar 201 dan 213 terkendala di device tamu tidak bisa connect setelah di cek dari indakator wlan tidak nyala action disable enable wlan di netcon, kembali normal untuk redaman aman di bawah-20dbm - maintenance penyambungan kabel fo di villa 111 dan 112 ont belum di pasang karena renov belum selesai -kamar 204 dan 215 belum bisa di cek karena masih isi tamu	
	44	Sakti Garden	Internet	Maintenance		5 November 2025	Joni	- reposisi otb dengan team iforte	
	45	Teras Sebali	Internet	Survey		6 November 2025	Joni	- done survey jalur kabel fo	
	46	Raffles Bali	WAAS	Dismantle		4 November 2025	samudra	 Dismantle perangkat ruckus 4 unit raffless bali 4 november 2025 1. Loloan Bar - 2025 2. Gym - 2025 3. TWB - 2025 4. Left Wing - 2025  4 titik AP sudah kembali ke Varnion.	
	47	Tuju Day Club	WAAS	Technical Visit		6 November 2025	samudra	Technical visit 6 november 2025  -speedtest via wireless dan kabel : Normal -Roaming Test: Normal -Signal Test : Normal -Ping DNS Varnion, Gateway Varnion, Gateway Client : Normal  Note : client rencana menjadikan varnion untuk backup jaringan BOH mereka dari isp blip bisa dibantu mengenai hal ini 	
	48	Famous Hotel	Internet/WAAS	Dismantle		06 November 2025	Jody, Azlan	Pengambilan perangkat : RB750, AP Ruijie out door dan indoor, switch dan box panel	
	49	Bintang Mandiri School	WAAS	Survery		6 November 2025	Azlan	- Survey WAAS Gedung 3 dan public area	
	50	Lavaya Oakwood Nusa Dua Bali	WAAS	Troiubleshoot		10 November 2025	Azlan	- sudah di lakukan konfigurasi pada ap tp-link (signal dan channel) milik klien di room N-506 tapi signal ap masih tidak stabil  - terkait kendala di room sudah di sampaikan ke pic.	
	51	Como Uma Canggu	Internet	Meeting jalur FO		10 November 2025	Jody, Arthak	- Meeting bersama dari beberapa ISP (Varnion, Velo, Doel sumbang) dengan IT Perihal jalur kabel dari depan menuju ke server. - Info dari IT bahwa GM menyuruh agar jalur kabelnya menggunakan trai kabel mulai dari depan (tiang) sampai ke arah belakang (engineering). karena keadaan jalur kabel saat ini dirasa kurang rapih dan mengganggu lahan orang jika pipa clipsalnya lepas dari tembok. - IT menyarankan agar dari beberapa ISP yang saat ini bekerjasama untuk perihal tersebut.	
	52	Hilton Garden Inn	Internet	Troubleshoot		8 Noveber 2025	Joni, Angga	case: main link down karena bending action: sambung ulang di JB dan Ganti patchord sisi holiday inn	
	53	POP Imbo	Internet	Instalasi 		5 November	Wawan, Artha, Angga	Update Instalasi BB IMBO>P.Supiori -Penarikan Kabel 24C ADSS 1,4KM -Pelurusan JB POP Imbo	
						7 November	Wawan, Angga	Update Instalasi ODP Kertapura - Penarikan 12C Fig 8 350M -Pelurusan JB (Seberang Babi Gulung), Instalasi Splitter 1:4 -Instalasi ODP 24 Core	
	54	d'primahotel Petitenget Seminyak	Internet	Dismantle		10 November 2025	Wawan	Dismantle Perangkat Varnion di sisi Client -RB750Gr3 -RB1100AHX4 -OTB 12 PORT -OTP 4 PORT -Unifi Cloud Key	
	55	The Seminyak	Project	Instalasi		12 November 2025	Jody, Arthak, Beni, Wawan, Angga	- Penarikan kabel UTP Lantai 2 kamar 3209, 3208, 3207, 3202, 3205	
						13 November 2025	Jody, Beni, Angga, Artha	- Penarikan kabel UTP Lantai 2 kamar 3201, 3203.	
									
						14 November 2025	Jody, Beni, Wawan	- Penarikan kabel UTP Lantai 2 kamar 3206	
